Location,Year,Month,Rainfall
Adelaide,2016,12,86.8
Adelaide,2017,1,47.2
Adelaide,2017,2,33.4
Adelaide,2017,3,39.400000000000006
Adelaide,2017,4,33.2
Adelaide,2017,5,51.2
Adelaide,2017,6,1.9999999999999998
Albany,2008,12,29.2
Albany,2009,1,15.399999999999999
Albany,2009,2,15.4
Albany,2009,3,49.4
Albany,2009,4,25.2
Albany,2009,5,72.2
Albany,2009,6,221.2
Albany,2009,7,140.4
Albany,2009,8,120.0
Albany,2009,9,171.0
Albany,2009,10,55.0
Albany,2009,11,29.0
Albany,2009,12,5.0
Albany,2010,1,17.2
Albany,2010,2,10.600000000000001
Albany,2010,3,39.2
Albany,2010,4,79.8
Albany,2010,5,50.8
Albany,2010,6,108.0
Albany,2010,7,157.2
Albany,2010,8,82.4
Albany,2010,9,55.4
Albany,2010,10,61.2
Albany,2010,11,46.2
Albany,2010,12,34.2
Albany,2011,1,82.30000000000001
Albany,2011,2,18.5
Albany,2011,3,11.6
Albany,2011,5,86.5
Albany,2011,6,123.2
Albany,2011,7,145.7
Albany,2011,8,150.8
Albany,2011,9,90.0
Albany,2011,10,50.800000000000004
Albany,2011,11,76.6
Albany,2011,12,60.0
Albany,2012,1,12.600000000000001
Albany,2012,2,8.2
Albany,2012,3,12.4
Albany,2012,4,58.099999999999994
Albany,2012,5,92.5
Albany,2012,6,218.0
Albany,2012,7,80.6
Albany,2012,8,101.4
Albany,2012,9,148.20000000000002
Albany,2012,10,32.6
Albany,2012,11,95.69999999999999
Albany,2013,1,30.6
Albany,2013,3,86.0
Albany,2013,4,62.8
Albany,2013,5,97.5
Albany,2013,6,63.8
Albany,2013,7,95.2
Albany,2013,8,203.8
Albany,2013,9,174.6
Albany,2013,10,54.6
Albany,2013,11,35.8
Albany,2013,12,51.1
Albany,2014,1,3.1999999999999997
Albany,2014,2,7.0
Albany,2014,3,21.200000000000003
Albany,2014,4,33.0
Albany,2014,5,87.3
Albany,2014,6,77.8
Albany,2014,7,121.0
Albany,2014,8,59.8
Albany,2014,9,67.7
Albany,2014,10,115.1
Albany,2014,11,44.5
Albany,2014,12,11.0
Albany,2015,1,5.3999999999999995
Albany,2015,2,20.900000000000002
Albany,2015,3,35.6
Albany,2015,4,77.8
Albany,2015,5,57.7
Albany,2015,6,49.0
Albany,2015,7,89.4
Albany,2015,8,101.0
Albany,2015,9,52.900000000000006
Albany,2015,10,59.5
Albany,2015,11,17.099999999999998
Albany,2015,12,50.0
Albany,2016,1,73.8
Albany,2016,2,21.7
Albany,2016,3,44.2
Albany,2016,4,94.6
Albany,2016,5,97.9
Albany,2016,6,120.3
Albany,2016,7,122.6
Albany,2016,8,117.1
Albany,2016,9,102.8
Albany,2016,10,62.8
Albany,2016,11,22.599999999999998
Albany,2016,12,34.1
Albany,2017,1,3.6
Albany,2017,2,52.2
Albany,2017,3,29.0
Albany,2017,4,50.3
Albany,2017,5,67.0
Albany,2017,6,43.6
Albury,2008,12,54.0
Albury,2009,1,7.800000000000001
Albury,2009,2,3.6
Albury,2009,3,24.0
Albury,2009,4,84.8
Albury,2009,5,6.8
Albury,2009,6,71.2
Albury,2009,7,54.6
Albury,2009,8,62.0
Albury,2009,9,61.4
Albury,2009,10,26.0
Albury,2009,11,58.800000000000004
Albury,2009,12,15.0
Albury,2010,1,21.0
Albury,2010,2,72.2
Albury,2010,3,110.0
Albury,2010,4,36.0
Albury,2010,5,61.4
Albury,2010,6,29.0
Albury,2010,7,64.4
Albury,2010,8,100.4
Albury,2010,9,75.60000000000001
Albury,2010,10,154.8
Albury,2010,11,117.4
Albury,2010,12,74.2
Albury,2011,1,72.4
Albury,2011,2,267.4
Albury,2011,3,53.6
Albury,2011,5,32.6
Albury,2011,6,33.4
Albury,2011,7,70.2
Albury,2011,8,73.4
Albury,2011,9,52.2
Albury,2011,10,30.0
Albury,2011,11,128.6
Albury,2011,12,33.4
Albury,2012,1,47.6
Albury,2012,2,61.0
Albury,2012,3,255.20000000000002
Albury,2012,4,46.4
Albury,2012,5,38.0
Albury,2012,6,30.6
Albury,2012,7,96.0
Albury,2012,8,52.4
Albury,2012,9,26.4
Albury,2012,10,44.0
Albury,2012,11,37.800000000000004
Albury,2013,1,16.8
Albury,2013,3,51.0
Albury,2013,4,12.2
Albury,2013,5,45.0
Albury,2013,6,113.39999999999999
Albury,2013,7,73.0
Albury,2013,8,87.6
Albury,2013,9,50.99999999999999
Albury,2013,10,14.6
Albury,2013,11,10.6
Albury,2013,12,52.4
Albury,2014,1,35.4
Albury,2014,2,31.6
Albury,2014,3,48.0
Albury,2014,4,128.4
Albury,2014,5,62.2
Albury,2014,6,67.6
Albury,2014,7,41.0
Albury,2014,8,10.4
Albury,2014,9,56.0
Albury,2014,10,19.6
Albury,2014,11,57.4
Albury,2014,12,37.4
Albury,2015,1,96.8
Albury,2015,2,35.199999999999996
Albury,2015,3,4.8
Albury,2015,4,83.39999999999999
Albury,2015,5,45.4
Albury,2015,6,83.6
Albury,2015,7,43.6
Albury,2015,8,90.39999999999999
Albury,2015,9,27.4
Albury,2015,10,10.600000000000001
Albury,2015,11,66.2
Albury,2015,12,34.2
Albury,2016,1,68.39999999999999
Albury,2016,2,29.400000000000002
Albury,2016,3,29.8
Albury,2016,4,16.4
Albury,2016,5,107.8
Albury,2016,6,86.0
Albury,2016,7,116.8
Albury,2016,8,74.4
Albury,2016,9,142.20000000000002
Albury,2016,10,61.4
Albury,2016,11,49.6
Albury,2016,12,22.8
Albury,2017,1,45.4
Albury,2017,2,12.0
Albury,2017,3,3.6000000000000005
Albury,2017,4,72.6
Albury,2017,5,45.400000000000006
Albury,2017,6,6.200000000000001
Alice Springs,2008,12,54.8
Alice Springs,2009,1,15.0
Alice Springs,2009,2,9.0
Alice Springs,2009,3,0.4
Alice Springs,2009,4,0.0
Alice Springs,2009,5,21.2
Alice Springs,2009,6,2.4
Alice Springs,2009,7,0.0
Alice Springs,2009,8,11.6
Alice Springs,2009,9,5.8
Alice Springs,2009,10,0.0
Alice Springs,2009,11,0.4
Alice Springs,2009,12,11.0
Alice Springs,2010,1,137.0
Alice Springs,2010,2,182.4
Alice Springs,2010,3,31.2
Alice Springs,2010,4,39.8
Alice Springs,2010,5,11.6
Alice Springs,2010,6,0.0
Alice Springs,2010,7,102.8
Alice Springs,2010,8,16.4
Alice Springs,2010,9,48.8
Alice Springs,2010,10,70.2
Alice Springs,2010,11,61.6
Alice Springs,2010,12,67.8
Alice Springs,2011,1,64.2
Alice Springs,2011,2,107.60000000000001
Alice Springs,2011,3,120.6
Alice Springs,2011,5,2.0
Alice Springs,2011,6,9.200000000000001
Alice Springs,2011,7,5.800000000000001
Alice Springs,2011,8,0.0
Alice Springs,2011,9,0.0
Alice Springs,2011,10,12.4
Alice Springs,2011,11,40.2
Alice Springs,2011,12,4.2
Alice Springs,2012,1,26.6
Alice Springs,2012,2,44.400000000000006
Alice Springs,2012,3,40.8
Alice Springs,2012,4,25.8
Alice Springs,2012,5,0.0
Alice Springs,2012,6,0.0
Alice Springs,2012,7,0.0
Alice Springs,2012,8,0.0
Alice Springs,2012,9,4.0
Alice Springs,2012,10,0.6
Alice Springs,2012,11,43.2
Alice Springs,2013,1,23.2
Alice Springs,2013,3,25.200000000000003
Alice Springs,2013,4,0.8
Alice Springs,2013,5,43.4
Alice Springs,2013,6,4.0
Alice Springs,2013,7,43.2
Alice Springs,2013,8,0.0
Alice Springs,2013,9,0.6
Alice Springs,2013,10,0.0
Alice Springs,2013,11,1.2
Alice Springs,2013,12,30.8
Alice Springs,2014,1,33.4
Alice Springs,2014,2,46.2
Alice Springs,2014,3,1.0
Alice Springs,2014,4,90.6
Alice Springs,2014,5,5.3999999999999995
Alice Springs,2014,6,0.0
Alice Springs,2014,7,26.4
Alice Springs,2014,8,0.0
Alice Springs,2014,9,0.0
Alice Springs,2014,10,0.0
Alice Springs,2014,11,13.6
Alice Springs,2014,12,34.8
Alice Springs,2015,1,195.2
Alice Springs,2015,2,0.0
Alice Springs,2015,3,0.0
Alice Springs,2015,4,7.6
Alice Springs,2015,5,0.0
Alice Springs,2015,6,2.4
Alice Springs,2015,7,0.0
Alice Springs,2015,8,0.4
Alice Springs,2015,9,0.0
Alice Springs,2015,10,0.0
Alice Springs,2015,11,23.799999999999997
Alice Springs,2015,12,119.8
Alice Springs,2016,1,40.0
Alice Springs,2016,2,26.4
Alice Springs,2016,3,16.2
Alice Springs,2016,4,0.0
Alice Springs,2016,5,56.8
Alice Springs,2016,6,28.0
Alice Springs,2016,7,0.0
Alice Springs,2016,8,20.4
Alice Springs,2016,9,49.2
Alice Springs,2016,10,3.4
Alice Springs,2016,11,7.0
Alice Springs,2016,12,125.8
Alice Springs,2017,1,73.2
Alice Springs,2017,2,4.4
Alice Springs,2017,3,0.0
Alice Springs,2017,4,0.2
Alice Springs,2017,5,0.0
Alice Springs,2017,6,0.0
Badgerys Creek,2009,1,28.599999999999998
Badgerys Creek,2009,2,109.6
Badgerys Creek,2009,3,74.8
Badgerys Creek,2009,4,84.0
Badgerys Creek,2009,5,113.6
Badgerys Creek,2009,6,18.0
Badgerys Creek,2009,7,20.2
Badgerys Creek,2009,8,3.8
Badgerys Creek,2009,9,27.0
Badgerys Creek,2009,10,43.0
Badgerys Creek,2009,11,17.2
Badgerys Creek,2009,12,51.6
Badgerys Creek,2010,1,40.8
Badgerys Creek,2010,2,116.0
Badgerys Creek,2010,3,56.2
Badgerys Creek,2010,4,14.600000000000001
Badgerys Creek,2010,5,61.4
Badgerys Creek,2010,6,63.0
Badgerys Creek,2010,7,71.6
Badgerys Creek,2010,8,20.2
Badgerys Creek,2010,9,41.8
Badgerys Creek,2010,10,93.2
Badgerys Creek,2010,11,119.19999999999999
Badgerys Creek,2010,12,131.2
Badgerys Creek,2011,1,38.2
Badgerys Creek,2011,2,27.6
Badgerys Creek,2011,3,83.0
Badgerys Creek,2011,5,52.199999999999996
Badgerys Creek,2011,6,64.2
Badgerys Creek,2011,7,47.0
Badgerys Creek,2011,8,44.6
Badgerys Creek,2011,9,68.4
Badgerys Creek,2011,10,42.6
Badgerys Creek,2011,11,139.6
Badgerys Creek,2011,12,99.6
Badgerys Creek,2012,1,119.8
Badgerys Creek,2012,2,193.20000000000002
Badgerys Creek,2012,3,198.0
Badgerys Creek,2012,4,129.4
Badgerys Creek,2012,5,13.0
Badgerys Creek,2012,6,86.2
Badgerys Creek,2012,7,17.8
Badgerys Creek,2012,8,3.2
Badgerys Creek,2012,9,14.8
Badgerys Creek,2012,10,42.8
Badgerys Creek,2012,11,48.6
Badgerys Creek,2013,1,168.2
Badgerys Creek,2013,3,60.800000000000004
Badgerys Creek,2013,4,79.60000000000001
Badgerys Creek,2013,5,52.4
Badgerys Creek,2013,6,152.0
Badgerys Creek,2013,7,2.8000000000000003
Badgerys Creek,2013,8,7.0
Badgerys Creek,2013,9,28.8
Badgerys Creek,2013,10,6.0
Badgerys Creek,2013,11,163.2
Badgerys Creek,2013,12,28.8
Badgerys Creek,2014,1,13.6
Badgerys Creek,2014,2,72.2
Badgerys Creek,2014,3,131.0
Badgerys Creek,2014,4,58.8
Badgerys Creek,2014,5,5.8
Badgerys Creek,2014,6,33.199999999999996
Badgerys Creek,2014,7,8.4
Badgerys Creek,2014,8,135.8
Badgerys Creek,2014,9,20.8
Badgerys Creek,2014,10,50.400000000000006
Badgerys Creek,2014,11,34.6
Badgerys Creek,2014,12,128.0
Badgerys Creek,2015,1,145.0
Badgerys Creek,2015,2,34.0
Badgerys Creek,2015,3,55.800000000000004
Badgerys Creek,2015,4,253.4
Badgerys Creek,2015,5,52.6
Badgerys Creek,2015,6,62.00000000000001
Badgerys Creek,2015,7,36.0
Badgerys Creek,2015,8,46.6
Badgerys Creek,2015,9,10.8
Badgerys Creek,2015,10,58.2
Badgerys Creek,2015,11,65.2
Badgerys Creek,2015,12,0.0
Badgerys Creek,2016,1,155.4
Badgerys Creek,2016,2,12.8
Badgerys Creek,2016,3,31.599999999999998
Badgerys Creek,2016,4,10.4
Badgerys Creek,2016,5,11.8
Badgerys Creek,2016,6,250.4
Badgerys Creek,2016,7,44.6
Badgerys Creek,2016,8,58.6
Badgerys Creek,2016,9,54.8
Badgerys Creek,2016,10,14.200000000000001
Badgerys Creek,2016,11,9.8
Badgerys Creek,2016,12,10.2
Badgerys Creek,2017,1,23.6
Badgerys Creek,2017,2,93.0
Badgerys Creek,2017,3,285.4
Badgerys Creek,2017,4,27.6
Badgerys Creek,2017,5,15.6
Badgerys Creek,2017,6,55.4
Ballarat,2008,12,83.39999999999999
Ballarat,2009,1,0.8
Ballarat,2009,2,2.2
Ballarat,2009,3,40.199999999999996
Ballarat,2009,4,33.0
Ballarat,2009,5,20.0
Ballarat,2009,6,58.199999999999996
Ballarat,2009,7,67.2
Ballarat,2009,8,64.8
Ballarat,2009,9,89.8
Ballarat,2009,10,31.8
Ballarat,2009,11,113.0
Ballarat,2009,12,32.0
Ballarat,2010,1,25.8
Ballarat,2010,2,26.000000000000004
Ballarat,2010,3,117.2
Ballarat,2010,4,58.2
Ballarat,2010,5,33.2
Ballarat,2010,6,43.6
Ballarat,2010,7,55.0
Ballarat,2010,8,161.0
Ballarat,2010,9,107.8
Ballarat,2010,10,92.8
Ballarat,2010,11,100.6
Ballarat,2010,12,58.4
Ballarat,2011,1,206.0
Ballarat,2011,2,96.80000000000001
Ballarat,2011,3,20.4
Ballarat,2011,5,65.4
Ballarat,2011,6,41.0
Ballarat,2011,7,49.6
Ballarat,2011,8,46.8
Ballarat,2011,9,54.8
Ballarat,2011,10,65.6
Ballarat,2011,11,92.8
Ballarat,2011,12,25.4
Ballarat,2012,1,22.2
Ballarat,2012,2,87.2
Ballarat,2012,3,50.8
Ballarat,2012,4,44.6
Ballarat,2012,5,51.4
Ballarat,2012,6,81.2
Ballarat,2012,7,83.0
Ballarat,2012,8,70.0
Ballarat,2012,9,45.6
Ballarat,2012,10,29.8
Ballarat,2012,11,33.6
Ballarat,2013,1,1.8
Ballarat,2013,3,12.4
Ballarat,2013,4,11.0
Ballarat,2013,5,41.4
Ballarat,2013,6,49.0
Ballarat,2013,7,73.0
Ballarat,2013,8,73.6
Ballarat,2013,9,60.2
Ballarat,2013,10,70.8
Ballarat,2013,11,35.8
Ballarat,2013,12,26.0
Ballarat,2014,1,20.599999999999998
Ballarat,2014,2,6.2
Ballarat,2014,3,26.599999999999998
Ballarat,2014,4,71.2
Ballarat,2014,5,28.2
Ballarat,2014,6,84.0
Ballarat,2014,7,58.4
Ballarat,2014,8,35.2
Ballarat,2014,9,44.8
Ballarat,2014,10,33.6
Ballarat,2014,11,41.2
Ballarat,2014,12,10.6
Ballarat,2015,1,77.80000000000001
Ballarat,2015,2,53.0
Ballarat,2015,3,34.8
Ballarat,2015,4,32.8
Ballarat,2015,5,38.8
Ballarat,2015,6,27.6
Ballarat,2015,7,62.0
Ballarat,2015,8,38.6
Ballarat,2015,9,42.800000000000004
Ballarat,2015,10,3.8
Ballarat,2015,11,14.8
Ballarat,2015,12,26.2
Ballarat,2016,1,39.4
Ballarat,2016,2,9.6
Ballarat,2016,3,36.6
Ballarat,2016,4,13.8
Ballarat,2016,5,71.4
Ballarat,2016,6,70.6
Ballarat,2016,7,93.4
Ballarat,2016,8,63.6
Ballarat,2016,9,178.2
Ballarat,2016,10,102.4
Ballarat,2016,11,34.0
Ballarat,2016,12,27.599999999999998
Ballarat,2017,1,38.6
Ballarat,2017,2,44.199999999999996
Ballarat,2017,3,44.4
Ballarat,2017,4,101.0
Ballarat,2017,5,44.0
Ballarat,2017,6,7.4
Bendigo,2008,12,56.599999999999994
Bendigo,2009,1,0.0
Bendigo,2009,2,0.4
Bendigo,2009,3,26.8
Bendigo,2009,4,22.599999999999998
Bendigo,2009,5,20.0
Bendigo,2009,6,54.2
Bendigo,2009,7,74.0
Bendigo,2009,8,53.199999999999996
Bendigo,2009,9,53.400000000000006
Bendigo,2009,10,33.4
Bendigo,2009,11,61.0
Bendigo,2009,12,19.0
Bendigo,2010,1,13.6
Bendigo,2010,2,43.6
Bendigo,2010,3,116.4
Bendigo,2010,4,76.8
Bendigo,2010,5,71.6
Bendigo,2010,6,68.8
Bendigo,2010,7,78.0
Bendigo,2010,8,139.0
Bendigo,2010,9,96.2
Bendigo,2010,10,137.6
Bendigo,2010,11,115.2
Bendigo,2010,12,103.6
Bendigo,2011,1,177.8
Bendigo,2011,2,152.2
Bendigo,2011,3,46.0
Bendigo,2011,5,15.6
Bendigo,2011,6,22.6
Bendigo,2011,7,53.8
Bendigo,2011,8,70.2
Bendigo,2011,9,50.0
Bendigo,2011,10,24.8
Bendigo,2011,11,70.6
Bendigo,2011,12,34.4
Bendigo,2012,1,29.0
Bendigo,2012,2,76.4
Bendigo,2012,3,81.6
Bendigo,2012,4,11.6
Bendigo,2012,5,24.2
Bendigo,2012,6,58.4
Bendigo,2012,7,62.4
Bendigo,2012,8,39.2
Bendigo,2012,9,33.4
Bendigo,2012,10,17.4
Bendigo,2012,11,6.4
Bendigo,2013,1,0.6
Bendigo,2013,3,24.599999999999998
Bendigo,2013,4,5.0
Bendigo,2013,5,39.599999999999994
Bendigo,2013,6,63.4
Bendigo,2013,7,77.2
Bendigo,2013,8,88.60000000000001
Bendigo,2013,9,60.199999999999996
Bendigo,2013,10,32.0
Bendigo,2013,11,24.2
Bendigo,2013,12,46.8
Bendigo,2014,1,2.8
Bendigo,2014,2,9.8
Bendigo,2014,3,41.6
Bendigo,2014,4,101.6
Bendigo,2014,5,33.4
Bendigo,2014,6,101.0
Bendigo,2014,7,44.4
Bendigo,2014,8,9.6
Bendigo,2014,9,53.0
Bendigo,2014,10,12.4
Bendigo,2014,11,42.6
Bendigo,2014,12,10.6
Bendigo,2015,1,57.199999999999996
Bendigo,2015,2,9.6
Bendigo,2015,3,9.0
Bendigo,2015,4,28.2
Bendigo,2015,5,47.0
Bendigo,2015,6,36.6
Bendigo,2015,7,52.8
Bendigo,2015,8,23.2
Bendigo,2015,9,30.599999999999998
Bendigo,2015,10,14.200000000000001
Bendigo,2015,11,34.400000000000006
Bendigo,2015,12,14.2
Bendigo,2016,1,32.4
Bendigo,2016,2,4.4
Bendigo,2016,3,33.4
Bendigo,2016,4,14.8
Bendigo,2016,5,83.0
Bendigo,2016,6,57.4
Bendigo,2016,7,91.8
Bendigo,2016,8,81.0
Bendigo,2016,9,153.4
Bendigo,2016,10,58.4
Bendigo,2016,11,37.6
Bendigo,2016,12,29.2
Bendigo,2017,1,43.0
Bendigo,2017,2,29.4
Bendigo,2017,3,45.800000000000004
Bendigo,2017,4,113.2
Bendigo,2017,5,27.8
Bendigo,2017,6,2.2
Brisbane,2008,7,91.39999999999999
Brisbane,2008,8,15.799999999999999
Brisbane,2008,9,55.6
Brisbane,2008,10,55.2
Brisbane,2008,11,326.6
Brisbane,2008,12,62.6
Brisbane,2009,1,77.4
Brisbane,2009,2,131.8
Brisbane,2009,3,47.6
Brisbane,2009,4,195.20000000000002
Brisbane,2009,5,240.8
Brisbane,2009,6,87.6
Brisbane,2009,7,3.6
Brisbane,2009,8,4.0
Brisbane,2009,9,23.4
Brisbane,2009,10,57.4
Brisbane,2009,11,31.400000000000002
Brisbane,2009,12,172.2
Brisbane,2010,1,40.2
Brisbane,2010,2,272.40000000000003
Brisbane,2010,3,162.2
Brisbane,2010,4,36.4
Brisbane,2010,5,61.2
Brisbane,2010,6,6.2
Brisbane,2010,7,27.8
Brisbane,2010,8,104.6
Brisbane,2010,9,103.6
Brisbane,2010,10,306.4
Brisbane,2010,11,57.800000000000004
Brisbane,2010,12,479.8
Brisbane,2011,1,315.8
Brisbane,2011,2,157.0
Brisbane,2011,3,149.2
Brisbane,2011,5,69.2
Brisbane,2011,6,10.600000000000001
Brisbane,2011,7,12.4
Brisbane,2011,8,76.8
Brisbane,2011,9,18.6
Brisbane,2011,10,117.8
Brisbane,2011,11,15.6
Brisbane,2011,12,132.4
Brisbane,2012,1,343.4
Brisbane,2012,2,162.2
Brisbane,2012,3,118.2
Brisbane,2012,4,149.0
Brisbane,2012,5,36.4
Brisbane,2012,6,122.0
Brisbane,2012,7,51.2
Brisbane,2012,8,0.2
Brisbane,2012,9,5.6
Brisbane,2012,10,21.4
Brisbane,2012,11,116.80000000000001
Brisbane,2013,1,271.0
Brisbane,2013,3,172.4
Brisbane,2013,4,104.6
Brisbane,2013,5,44.0
Brisbane,2013,6,59.4
Brisbane,2013,7,39.0
Brisbane,2013,8,0.2
Brisbane,2013,9,13.200000000000001
Brisbane,2013,10,22.599999999999998
Brisbane,2013,11,104.8
Brisbane,2013,12,19.2
Brisbane,2014,1,143.79999999999998
Brisbane,2014,2,15.8
Brisbane,2014,3,164.39999999999998
Brisbane,2014,4,14.200000000000001
Brisbane,2014,5,28.6
Brisbane,2014,6,16.2
Brisbane,2014,7,14.2
Brisbane,2014,8,93.2
Brisbane,2014,9,27.6
Brisbane,2014,10,5.800000000000001
Brisbane,2014,11,142.0
Brisbane,2014,12,124.4
Brisbane,2015,1,322.40000000000003
Brisbane,2015,2,274.8
Brisbane,2015,3,161.4
Brisbane,2015,4,146.20000000000002
Brisbane,2015,5,248.79999999999998
Brisbane,2015,6,34.6
Brisbane,2015,7,9.2
Brisbane,2015,8,27.6
Brisbane,2015,9,54.199999999999996
Brisbane,2015,10,55.800000000000004
Brisbane,2015,11,74.2
Brisbane,2015,12,36.2
Brisbane,2016,1,51.4
Brisbane,2016,2,13.8
Brisbane,2016,3,117.4
Brisbane,2016,4,12.8
Brisbane,2016,5,27.6
Brisbane,2016,6,264.8
Brisbane,2016,7,28.2
Brisbane,2016,8,31.6
Brisbane,2016,9,51.8
Brisbane,2016,10,30.2
Brisbane,2016,11,28.0
Brisbane,2016,12,102.0
Brisbane,2017,1,218.4
Brisbane,2017,2,30.6
Brisbane,2017,3,189.6
Brisbane,2017,4,5.800000000000001
Brisbane,2017,5,36.199999999999996
Brisbane,2017,6,74.8
Cairns,2008,12,195.2
Cairns,2009,1,868.0
Cairns,2009,2,620.0
Cairns,2009,3,152.0
Cairns,2009,4,134.0
Cairns,2009,5,87.2
Cairns,2009,6,4.4
Cairns,2009,7,5.0
Cairns,2009,8,8.0
Cairns,2009,9,3.6
Cairns,2009,10,30.8
Cairns,2009,11,208.2
Cairns,2009,12,78.2
Cairns,2010,1,696.6
Cairns,2010,2,290.8
Cairns,2010,3,436.2
Cairns,2010,4,252.8
Cairns,2010,5,30.6
Cairns,2010,6,10.8
Cairns,2010,7,36.6
Cairns,2010,8,62.6
Cairns,2010,9,91.8
Cairns,2010,10,184.6
Cairns,2010,11,204.4
Cairns,2010,12,362.0
Cairns,2011,1,410.0
Cairns,2011,2,999.2
Cairns,2011,3,418.8
Cairns,2011,5,13.600000000000001
Cairns,2011,6,69.19999999999999
Cairns,2011,7,12.200000000000001
Cairns,2011,8,9.6
Cairns,2011,9,14.0
Cairns,2011,10,394.4
Cairns,2011,11,82.0
Cairns,2011,12,151.4
Cairns,2012,1,355.40000000000003
Cairns,2012,2,268.2
Cairns,2012,3,937.8
Cairns,2012,4,156.6
Cairns,2012,5,144.2
Cairns,2012,6,16.2
Cairns,2012,7,43.6
Cairns,2012,8,5.4
Cairns,2012,9,13.0
Cairns,2012,10,29.0
Cairns,2012,11,22.0
Cairns,2013,1,326.8
Cairns,2013,3,183.6
Cairns,2013,4,93.39999999999999
Cairns,2013,5,172.4
Cairns,2013,6,27.0
Cairns,2013,7,37.6
Cairns,2013,8,3.6
Cairns,2013,9,43.6
Cairns,2013,10,41.8
Cairns,2013,11,165.20000000000002
Cairns,2013,12,56.8
Cairns,2014,1,323.0
Cairns,2014,2,395.8
Cairns,2014,3,419.4
Cairns,2014,4,358.8
Cairns,2014,5,92.8
Cairns,2014,6,71.6
Cairns,2014,7,14.4
Cairns,2014,8,29.8
Cairns,2014,9,1.7999999999999998
Cairns,2014,10,13.8
Cairns,2014,11,18.6
Cairns,2014,12,86.2
Cairns,2015,1,210.8
Cairns,2015,2,596.2
Cairns,2015,3,241.2
Cairns,2015,4,83.2
Cairns,2015,5,27.4
Cairns,2015,6,177.6
Cairns,2015,7,25.0
Cairns,2015,8,17.0
Cairns,2015,9,13.0
Cairns,2015,10,64.8
Cairns,2015,11,92.39999999999999
Cairns,2015,12,348.0
Cairns,2016,1,288.8
Cairns,2016,2,136.0
Cairns,2016,3,258.2
Cairns,2016,4,152.8
Cairns,2016,5,180.0
Cairns,2016,6,66.60000000000001
Cairns,2016,7,85.0
Cairns,2016,8,41.800000000000004
Cairns,2016,9,49.0
Cairns,2016,10,70.6
Cairns,2016,11,17.6
Cairns,2016,12,60.0
