Location,Year,Month
Badgerys Creek,2012,10
Badgerys Creek,2012,11
Badgerys Creek,2012,12
Badgerys Creek,2013,1
Badgerys Creek,2013,2
Badgerys Creek,2013,3
Badgerys Creek,2013,4
Badgerys Creek,2013,5
Badgerys Creek,2013,6
Badgerys Creek,2013,7
Badgerys Creek,2013,8
Badgerys Creek,2013,9
Badgerys Creek,2013,10
Badgerys Creek,2013,11
Badgerys Creek,2013,12
Badgerys Creek,2014,1
Badgerys Creek,2014,2
Badgerys Creek,2014,3
Badgerys Creek,2014,4
Badgerys Creek,2014,5
Badgerys Creek,2014,6
Badgerys Creek,2014,7
Badgerys Creek,2014,8
Badgerys Creek,2014,9
Badgerys Creek,2014,10
Badgerys Creek,2014,11
Badgerys Creek,2014,12
Badgerys Creek,2015,1
Badgerys Creek,2015,2
Badgerys Creek,2015,3
Badgerys Creek,2015,4
Badgerys Creek,2015,5
Badgerys Creek,2015,6
Badgerys Creek,2015,7
Badgerys Creek,2015,8
Badgerys Creek,2015,9
Badgerys Creek,2015,10
Badgerys Creek,2015,11
Badgerys Creek,2015,12
Badgerys Creek,2016,1
Badgerys Creek,2016,2
Badgerys Creek,2016,3
Badgerys Creek,2016,4
Badgerys Creek,2016,5
Badgerys Creek,2016,6
Badgerys Creek,2016,7
Badgerys Creek,2016,8
Badgerys Creek,2016,9
Badgerys Creek,2016,10
Badgerys Creek,2016,11
Badgerys Creek,2016,12
Badgerys Creek,2017,1
Badgerys Creek,2017,2
Badgerys Creek,2017,3
Badgerys Creek,2017,4
Badgerys Creek,2017,5
Badgerys Creek,2017,6
Badgerys Creek,2017,7
Badgerys Creek,2017,8
Badgerys Creek,2017,9
Badgerys Creek,2017,10
Badgerys Creek,2017,11
Badgerys Creek,2017,12
Badgerys Creek,2007,1
Badgerys Creek,2007,2
Badgerys Creek,2007,3
Badgerys Creek,2007,4
Badgerys Creek,2007,5
Badgerys Creek,2007,6
Badgerys Creek,2007,7
Badgerys Creek,2007,8
Badgerys Creek,2007,9
Badgerys Creek,2007,10
Badgerys Creek,2007,11
Badgerys Creek,2007,12
Ballarat,2008,1
Ballarat,2008,2
Ballarat,2008,3
Ballarat,2008,4
Ballarat,2008,5
Ballarat,2008,6
Ballarat,2008,7
Ballarat,2008,8
Ballarat,2008,9
Ballarat,2008,10
Ballarat,2008,11
Ballarat,2008,12
Ballarat,2009,1
Ballarat,2009,2
Ballarat,2009,3
Ballarat,2009,4
Ballarat,2009,5
Ballarat,2009,6
Ballarat,2009,7
Ballarat,2009,8
Ballarat,2009,9
Ballarat,2009,10
Ballarat,2009,11
Ballarat,2009,12
Ballarat,2010,1
Ballarat,2010,2
Ballarat,2010,3
Ballarat,2010,4
Ballarat,2010,5
Ballarat,2010,6
Ballarat,2010,7
Ballarat,2010,8
Ballarat,2010,9
Ballarat,2010,10
Ballarat,2010,11
Ballarat,2010,12
Ballarat,2011,1
Ballarat,2011,2
Ballarat,2011,3
Ballarat,2011,4
Ballarat,2011,5
Ballarat,2011,6
Ballarat,2011,7
Ballarat,2011,8
Ballarat,2011,9
Ballarat,2011,10
Ballarat,2011,11
Ballarat,2011,12
Ballarat,2012,1
Ballarat,2012,2
Ballarat,2012,3
Ballarat,2012,4
Ballarat,2012,5
Ballarat,2012,6
Ballarat,2012,7
Ballarat,2012,8
Ballarat,2012,9
Ballarat,2012,10
Ballarat,2012,11
Ballarat,2012,12
Ballarat,2013,1
Ballarat,2013,2
Ballarat,2013,3
Ballarat,2013,4
Ballarat,2013,5
Ballarat,2013,6
Ballarat,2013,7
Ballarat,2013,8
Ballarat,2013,9
Ballarat,2013,10
Ballarat,2013,11
Ballarat,2013,12
Ballarat,2014,1
Ballarat,2014,2
Ballarat,2014,3
Ballarat,2014,4
Ballarat,2014,5
Ballarat,2014,6
Ballarat,2014,7
Ballarat,2014,8
Ballarat,2014,9
Ballarat,2014,10
Ballarat,2014,11
Ballarat,2014,12
Ballarat,2015,1
Ballarat,2015,2
Ballarat,2015,3
Ballarat,2015,4
Ballarat,2015,5
Ballarat,2015,6
Ballarat,2015,7
Ballarat,2015,8
Ballarat,2015,9
Ballarat,2015,10
Ballarat,2015,11
Ballarat,2015,12
Ballarat,2016,1
Ballarat,2016,2
Ballarat,2016,3
Ballarat,2016,4
Ballarat,2016,5
Ballarat,2016,6
Ballarat,2016,7
Ballarat,2016,8
Ballarat,2016,9
Ballarat,2016,10
Ballarat,2016,11
Ballarat,2016,12
Ballarat,2017,1
Ballarat,2017,2
Ballarat,2017,3
Ballarat,2017,4
Ballarat,2017,5
Ballarat,2017,6
Ballarat,2017,7
Ballarat,2017,8
Ballarat,2017,9
Ballarat,2017,10
Ballarat,2017,11
Ballarat,2017,12
Ballarat,2007,1
Ballarat,2007,2
Ballarat,2007,3
Ballarat,2007,4
Ballarat,2007,5
Ballarat,2007,6
Ballarat,2007,7
Ballarat,2007,8
Ballarat,2007,9
Ballarat,2007,10
Ballarat,2007,11
Ballarat,2007,12
Bendigo,2008,1
Bendigo,2008,2
Bendigo,2008,3
Bendigo,2008,4
Bendigo,2008,5
Bendigo,2008,6
Bendigo,2008,7
Bendigo,2008,8
Bendigo,2008,9
Bendigo,2008,10
Bendigo,2008,11
Bendigo,2008,12
Bendigo,2009,1
Bendigo,2009,2
Bendigo,2009,3
Bendigo,2009,4
Bendigo,2009,5
Bendigo,2009,6
Bendigo,2009,7
Bendigo,2009,8
Bendigo,2009,9
Bendigo,2009,10
Bendigo,2009,11
Bendigo,2009,12
Bendigo,2010,1
Bendigo,2010,2
Bendigo,2010,3
Bendigo,2010,4
Bendigo,2010,5
Bendigo,2010,6
Bendigo,2010,7
Bendigo,2010,8
Bendigo,2010,9
Bendigo,2010,10
Bendigo,2010,11
Bendigo,2010,12
Bendigo,2011,1
Bendigo,2011,2
Bendigo,2011,3
Bendigo,2011,4
Bendigo,2011,5
Bendigo,2011,6
Bendigo,2011,7
Bendigo,2011,8
Bendigo,2011,9
Bendigo,2011,10
Bendigo,2011,11
Bendigo,2011,12
Bendigo,2012,1
Bendigo,2012,2
Bendigo,2012,3
Bendigo,2012,4
Bendigo,2012,5
Bendigo,2012,6
Bendigo,2012,7
Bendigo,2012,8
Bendigo,2012,9
Bendigo,2012,10
Bendigo,2012,11
Bendigo,2012,12
Bendigo,2013,1
Bendigo,2013,2
Bendigo,2013,3
Bendigo,2013,4
Bendigo,2013,5
Bendigo,2013,6
Bendigo,2013,7
Bendigo,2013,8
Bendigo,2013,9
Bendigo,2013,10
Bendigo,2013,11
Bendigo,2013,12
Bendigo,2014,1
Bendigo,2014,2
Bendigo,2014,3
Bendigo,2014,4
Bendigo,2014,5
Bendigo,2014,6
Bendigo,2014,7
Bendigo,2014,8
Bendigo,2014,9
Bendigo,2014,10
Bendigo,2014,11
Bendigo,2014,12
Bendigo,2015,1
Bendigo,2015,2
Bendigo,2015,3
Bendigo,2015,4
Bendigo,2015,5
Bendigo,2015,6
Bendigo,2015,7
Bendigo,2015,8
Bendigo,2015,9
Bendigo,2015,10
Bendigo,2015,11
Bendigo,2015,12
Bendigo,2016,1
Bendigo,2016,2
Bendigo,2016,3
Bendigo,2016,4
Bendigo,2016,5
Bendigo,2016,6
Bendigo,2016,7
Bendigo,2016,8
Bendigo,2016,9
Bendigo,2016,10
Bendigo,2016,11
Bendigo,2016,12
Bendigo,2017,1
Bendigo,2017,2
Bendigo,2017,3
Bendigo,2017,4
Bendigo,2017,5
Bendigo,2017,6
Bendigo,2017,7
Bendigo,2017,8
Bendigo,2017,9
Bendigo,2017,10
Bendigo,2017,11
Bendigo,2017,12
Bendigo,2007,1
Bendigo,2007,2
Bendigo,2007,3
Bendigo,2007,4
Bendigo,2007,5
Bendigo,2007,6
Bendigo,2007,7
Bendigo,2007,8
Bendigo,2007,9
Bendigo,2007,10
Bendigo,2007,11
Bendigo,2007,12
Brisbane,2008,1
Brisbane,2008,2
Brisbane,2008,3
Brisbane,2008,4
Brisbane,2008,5
Brisbane,2008,6
Brisbane,2008,7
Brisbane,2008,8
Brisbane,2008,9
Brisbane,2008,10
Brisbane,2008,11
Brisbane,2008,12
Brisbane,2009,1
Brisbane,2009,2
Brisbane,2009,3
Brisbane,2009,4
Brisbane,2009,5
Brisbane,2009,6
Brisbane,2009,7
Brisbane,2009,8
Brisbane,2009,9
Brisbane,2009,10
Brisbane,2009,11
Brisbane,2009,12
Brisbane,2010,1
Brisbane,2010,2
Brisbane,2010,3
Brisbane,2010,4
Brisbane,2010,5
Brisbane,2010,6
Brisbane,2010,7
Brisbane,2010,8
Brisbane,2010,9
Brisbane,2010,10
Brisbane,2010,11
Brisbane,2010,12
Brisbane,2011,1
Brisbane,2011,2
Brisbane,2011,3
Brisbane,2011,4
Brisbane,2011,5
Brisbane,2011,6
Brisbane,2011,7
Brisbane,2011,8
Brisbane,2011,9
Brisbane,2011,10
Brisbane,2011,11
Brisbane,2011,12
Brisbane,2012,1
Brisbane,2012,2
Brisbane,2012,3
Brisbane,2012,4
Brisbane,2012,5
Brisbane,2012,6
Brisbane,2012,7
Brisbane,2012,8
Brisbane,2012,9
Brisbane,2012,10
Brisbane,2012,11
Brisbane,2012,12
Brisbane,2013,1
Brisbane,2013,2
Brisbane,2013,3
Brisbane,2013,4
Brisbane,2013,5
Brisbane,2013,6
Brisbane,2013,7
Brisbane,2013,8
Brisbane,2013,9
Brisbane,2013,10
Brisbane,2013,11
Brisbane,2013,12
Brisbane,2014,1
Brisbane,2014,2
Brisbane,2014,3
Brisbane,2014,4
Brisbane,2014,5
Brisbane,2014,6
Brisbane,2014,7
Brisbane,2014,8
Brisbane,2014,9
Brisbane,2014,10
Brisbane,2014,11
Brisbane,2014,12
Brisbane,2015,1
Brisbane,2015,2
Brisbane,2015,3
Brisbane,2015,4
Brisbane,2015,5
Brisbane,2015,6
Brisbane,2015,7
Brisbane,2015,8
Brisbane,2015,9
Brisbane,2015,10
Brisbane,2015,11
Brisbane,2015,12
Brisbane,2016,1
Brisbane,2016,2
Brisbane,2016,3
Brisbane,2016,4
Brisbane,2016,5
Brisbane,2016,6
Brisbane,2016,7
Brisbane,2016,8
Brisbane,2016,9
Brisbane,2016,10
Brisbane,2016,11
Brisbane,2016,12
Brisbane,2017,1
Brisbane,2017,2
Brisbane,2017,3
Brisbane,2017,4
Brisbane,2017,5
Brisbane,2017,6
Brisbane,2017,7
Brisbane,2017,8
Brisbane,2017,9
Brisbane,2017,10
Brisbane,2017,11
Brisbane,2017,12
Brisbane,2007,1
Brisbane,2007,2
Brisbane,2007,3
Brisbane,2007,4
Brisbane,2007,5
Brisbane,2007,6
Brisbane,2007,7
Brisbane,2007,8
Brisbane,2007,9
Brisbane,2007,10
Brisbane,2007,11
Brisbane,2007,12
Cairns,2008,1
Cairns,2008,2
Cairns,2008,3
Cairns,2008,4
Cairns,2008,5
Cairns,2008,6
Cairns,2008,7
Cairns,2008,8
Cairns,2008,9
Cairns,2008,10
Cairns,2008,11
Cairns,2008,12
Cairns,2009,1
Cairns,2009,2
Cairns,2009,3
Cairns,2009,4
Cairns,2009,5
Cairns,2009,6
Cairns,2009,7
Cairns,2009,8
Cairns,2009,9
Cairns,2009,10
Cairns,2009,11
Cairns,2009,12
Cairns,2010,1
Cairns,2010,2
Cairns,2010,3
Cairns,2010,4
Cairns,2010,5
Cairns,2010,6
Cairns,2010,7
Cairns,2010,8
Cairns,2010,9
Cairns,2010,10
Cairns,2010,11
Cairns,2010,12
Cairns,2011,1
Cairns,2011,2
Cairns,2011,3
Cairns,2011,4
Cairns,2011,5
Cairns,2011,6
Cairns,2011,7
Cairns,2011,8
Cairns,2011,9
Cairns,2011,10
Cairns,2011,11
Cairns,2011,12
Cairns,2012,1
Cairns,2012,2
Cairns,2012,3
Cairns,2012,4
Cairns,2012,5
Cairns,2012,6
Cairns,2012,7
Cairns,2012,8
Cairns,2012,9
Cairns,2012,10
Cairns,2012,11
Cairns,2012,12
Cairns,2013,1
Cairns,2013,2
Cairns,2013,3
Cairns,2013,4
Cairns,2013,5
Cairns,2013,6
Cairns,2013,7
Cairns,2013,8
Cairns,2013,9
Cairns,2013,10
Cairns,2013,11
Cairns,2013,12
Cairns,2014,1
Cairns,2014,2
Cairns,2014,3
Cairns,2014,4
Cairns,2014,5
Cairns,2014,6
Cairns,2014,7
Cairns,2014,8
Cairns,2014,9
Cairns,2014,10
Cairns,2014,11
Cairns,2014,12
Cairns,2015,1
Cairns,2015,2
Cairns,2015,3
Cairns,2015,4
Cairns,2015,5
Cairns,2015,6
Cairns,2015,7
Cairns,2015,8
Cairns,2015,9
Cairns,2015,10
Cairns,2015,11
Cairns,2015,12
Cairns,2016,1
Cairns,2016,2
Cairns,2016,3
Cairns,2016,4
Cairns,2016,5
Cairns,2016,6
Cairns,2016,7
Cairns,2016,8
Cairns,2016,9
Cairns,2016,10
Cairns,2016,11
Cairns,2016,12
Cairns,2017,1
Cairns,2017,2
Cairns,2017,3
Cairns,2017,4
Cairns,2017,5
Cairns,2017,6
Cairns,2017,7
Cairns,2017,8
Cairns,2017,9
Cairns,2017,10
Cairns,2017,11
Cairns,2017,12
Cairns,2007,1
Cairns,2007,2
Cairns,2007,3
Cairns,2007,4
Cairns,2007,5
Cairns,2007,6
Cairns,2007,7
Cairns,2007,8
Cairns,2007,9
Cairns,2007,10
Cairns,2007,11
Cairns,2007,12
Canberra,2008,1
Canberra,2008,2
Canberra,2008,3
Canberra,2008,4
Canberra,2008,5
Canberra,2008,6
Canberra,2008,7
Canberra,2008,8
Canberra,2008,9
Canberra,2008,10
Canberra,2008,11
Canberra,2008,12
Canberra,2009,1
Canberra,2009,2
Canberra,2009,3
Canberra,2009,4
Canberra,2009,5
Canberra,2009,6
Canberra,2009,7
Canberra,2009,8
Canberra,2009,9
Canberra,2009,10
Canberra,2009,11
Canberra,2009,12
Canberra,2010,1
Canberra,2010,2
Canberra,2010,3
Canberra,2010,4
Canberra,2010,5
Canberra,2010,6
Canberra,2010,7
Canberra,2010,8
Canberra,2010,9
Canberra,2010,10
Canberra,2010,11
Canberra,2010,12
Canberra,2011,1
Canberra,2011,2
Canberra,2011,3
Canberra,2011,4
Canberra,2011,5
Canberra,2011,6
Canberra,2011,7
Canberra,2011,8
Canberra,2011,9
Canberra,2011,10
Canberra,2011,11
Canberra,2011,12
Canberra,2012,1
Canberra,2012,2
Canberra,2012,3
Canberra,2012,4
Canberra,2012,5
Canberra,2012,6
Canberra,2012,7
Canberra,2012,8
Canberra,2012,9
Canberra,2012,10
Canberra,2012,11
Canberra,2012,12
Canberra,2013,1
Canberra,2013,2
Canberra,2013,3
Canberra,2013,4
Canberra,2013,5
Canberra,2013,6
Canberra,2013,7
Canberra,2013,8
Canberra,2013,9
Canberra,2013,10
Canberra,2013,11
Canberra,2013,12
Canberra,2014,1
Canberra,2014,2
Canberra,2014,3
Canberra,2014,4
Canberra,2014,5
Canberra,2014,6
Canberra,2014,7
Canberra,2014,8
Canberra,2014,9
Canberra,2014,10
Canberra,2014,11
Canberra,2014,12
Canberra,2015,1
Canberra,2015,2
Canberra,2015,3
Canberra,2015,4
Canberra,2015,5
Canberra,2015,6
Canberra,2015,7
Canberra,2015,8
Canberra,2015,9
Canberra,2015,10
Canberra,2015,11
Canberra,2015,12
Canberra,2016,1
Canberra,2016,2
Canberra,2016,3
Canberra,2016,4
Canberra,2016,5
Canberra,2016,6
Canberra,2016,7
Canberra,2016,8
